样点地价,级别,功能分,等级,面积_1,折现年份,设定功能分,贴现系数,等级_1,级别价,距车站距离,级别价评估,区片价评估,测算容积率,用途_E,乡镇名称_E,名称_E,规划用途_E,开发程度_E,规划用途_1_E,开发程度_1_E,分类_E,主要区域_E,DLBM_E,DLMC_E,ZLDWMC_E,BZ_E,用途_1_E,区片_E,容积率_1_E,商服评价_E,市场评价_E,车站评价_E,银行评价_E,文娱评价_E,评估用途_E
2757.00,1.00,100.00,1.00,301074.14,8.01,60.70,0.62,0.28,0.00,0.00,0.00,0.00,0.00,5.00,18.00,2.00,5.00,10.00,5.00,10.00,3.00,4.00,15.00,15.00,42.00,2.00,6.00,31.00,21.00,2.00,2.00,2.00,2.00,2.00,14.00
2931.00,1.00,61.80,3.00,92133.92,5.00,60.00,0.74,3.00,1142.00,980.00,1190.00,1143.00,0.00,5.00,18.00,2.00,17.00,13.00,17.00,13.00,1.00,1.00,14.00,14.00,42.00,3.00,5.00,23.00,21.00,5.00,7.00,5.00,8.00,7.00,15.00
2736.00,1.00,87.22,1.97,266359.49,8.01,60.50,0.62,2.00,0.00,0.00,0.00,0.00,0.00,5.00,18.00,2.00,5.00,10.00,5.00,10.00,1.00,1.00,15.00,15.00,42.00,2.00,6.00,31.00,21.00,2.00,2.00,2.00,2.00,2.00,14.00
2543.00,1.00,100.00,1.00,71614.73,0.00,60.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,5.00,18.00,2.00,17.00,14.00,17.00,14.00,3.00,4.00,15.00,15.00,42.00,2.00,6.00,31.00,21.00,2.00,2.00,2.00,2.00,2.00,14.00
2834.00,1.00,100.00,1.00,214049.95,7.98,55.90,0.62,0.28,0.00,0.00,0.00,0.00,0.00,5.00,18.00,2.00,5.00,10.00,5.00,10.00,3.00,4.00,15.00,15.00,65.00,2.00,6.00,31.00,21.00,2.00,2.00,2.00,2.00,2.00,14.00
2844.00,1.00,100.00,1.00,214049.95,7.98,55.90,0.62,0.28,0.00,0.00,0.00,0.00,0.00,5.00,18.00,2.00,5.00,10.00,5.00,10.00,3.00,4.00,15.00,15.00,65.00,2.00,6.00,31.00,21.00,2.00,2.00,2.00,2.00,2.00,14.00
3823.00,1.00,100.00,1.00,212837.49,7.98,54.60,0.62,0.28,1366.00,100.00,1190.00,1366.00,2.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,33.00,31.00,8.00,7.00,7.00,9.00,6.00,15.00
3664.00,2.00,72.00,1.00,204155.09,7.98,54.50,0.62,0.28,1366.00,100.00,1190.00,1366.00,2.50,5.00,18.00,6.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,33.00,31.00,8.00,7.00,7.00,9.00,6.00,15.00
3471.00,1.00,100.00,1.00,212938.79,7.98,54.70,0.62,0.28,1366.00,100.00,1190.00,1366.00,2.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,33.00,31.00,8.00,7.00,7.00,9.00,6.00,15.00
3471.00,1.00,100.00,4.00,196705.62,7.98,54.00,0.62,3.94,1366.00,100.00,1190.00,1366.00,2.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,1.00,3.00,14.00,14.00,65.00,4.00,5.00,33.00,31.00,8.00,7.00,7.00,9.00,6.00,15.00
